"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"0 - Did not misuse in the past year","CA","0.116","0.0021","0.112","0.12","0.121","0.0022","0.117","0.126","0.956","0.0027","0.95","0.961","31407000","N/A","628000"
"1 - Misused within the past year","CA","0.005","0.0003","0.005","0.006","0.128","0.0078","0.114","0.144","0.044","0.0027","0.039","0.05","1442000","N/A","96000"
"Overall","CO","0.017","0.0008","0.016","0.019","0.017","0.0008","0.016","0.019","1","0","N/A","N/A","4647000","N/A","205000"
"0 - Did not misuse in the past year","CO","0.016","0.0007","0.015","0.018","0.017","0.0007","0.016","0.018","0.948","0.0061","0.935","0.959","4407000","N/A","188000"
"1 - Misused within the past year","CO","0.001","0.0001","0.001","0.001","0.021","0.0029","0.016","0.028","0.052","0.0061","0.041","0.065","240000","N/A","33000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3061000","N/A","126000"
"0 - Did not misuse in the past year","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","0.955","0.0066","0.94","0.966","2923000","N/A","123000"
"1 - Misused within the past year","CT","0.001","0.0001","0","0.001","0.012","0.0018","0.009","0.016","0.045","0.0066","0.034","0.06","138000","N/A","21000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","25000"
"0 - Did not misuse in the past year","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.959","0.0052","0.947","0.968","562000","N/A","24000"
"1 - Misused within the past year","DC","0","0","0","0","0.002","0.0003","0.002","0.003","0.041","0.0052","0.032","0.053","24000","N/A","3000"
"Overall","DE","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","807000","N/A","32000"
"0 - Did not misuse in the past year","DE","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","0.955","0.0064","0.941","0.966","771000","N/A","31000"
"1 - Misused within the past year","DE","0","0","0","0","0.003","0.0005","0.002","0.004","0.045","0.0064","0.034","0.059","36000","N/A","5000"
"Overall","FL","0.065","0.0017","0.062","0.069","0.065","0.0017","0.062","0.069","1","0","N/A","N/A","17727000","N/A","484000"
"0 - Did not misuse in the past year","FL","0.063","0.0016","0.059","0.066","0.065","0.0017","0.062","0.069","0.956","0.0032","0.95","0.962","16955000","N/A","467000"
"1 - Misused within the past year","FL","0.003","0.0002","0.002","0.003","0.069","0.0051","0.059","0.079","0.044","0.0032","0.038","0.05","772000","N/A","60000"
"Overall","GA","0.031","0.0012","0.029","0.034","0.031","0.0012","0.029","0.034","1","0","N/A","N/A","8524000","N/A","328000"
"0 - Did not misuse in the past year","GA","0.03","0.0012","0.028","0.033","0.032","0.0012","0.029","0.034","0.968","0.0038","0.959","0.974","8248000","N/A","321000"
"1 - Misused within the past year","GA","0.001","0.0001","0.001","0.001","0.024","0.003","0.019","0.031","0.032","0.0038","0.026","0.041","276000","N/A","34000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1159000","N/A","50000"
"0 - Did not misuse in the past year","HI","0.004","0.0002","0.004","0.004","0.004","0.0002","0.004","0.005","0.964","0.0058","0.95","0.973","1117000","N/A","50000"
"1 - Misused within the past year","HI","0","0","0","0","0.004","0.0006","0.003","0.005","0.036","0.0058","0.027","0.05","42000","N/A","7000"
"Overall","IA","0.01","0.0004","0.009","0.01","0.01","0.0004","0.009","0.01","1","0","N/A","N/A","2612000","N/A","100000"
"0 - Did not misuse in the past year","IA","0.009","0.0003","0.009","0.01","0.01","0.0004","0.009","0.01","0.959","0.0056","0.946","0.968","2505000","N/A","94000"
